qid,gender,race,weight_lifting_ability
2,0.37,0.63,0.12066362530934793
2,0.37,0.37,0.0242274755206926
2,0.63,0.37,0.22725608856798424
2,0.63,0.37,0.21858701467722474
2,0.63,0.63,0.10932215678831447
2,0.37,0.37,0.15869911864056274
2,0.37,0.37,0.1359458117988147
2,0.37,0.37,0.12428165287433479
2,0.63,0.37,0.014600000999465457
2,0.37,0.37,0.1580447597818887
2,0.37,0.63,0.04004059898682388
2,0.63,0.63,0.0010517314667645161
2,0.37,0.37,0.15097054199470405
2,0.37,0.37,0.16713411567648317
2,0.37,0.37,0.04906899597018466
2,0.63,0.37,0.01263530900259724
2,0.37,0.37,0.17043094562204514
2,0.37,0.37,0.25645085810100343
2,0.37,0.63,0.2147651595510408
2,0.37,0.63,0.023890502573886696
2,0.37,0.37,0.007907531645754973
2,0.37,0.63,0.07592295287126916
2,0.37,0.63,0.09076212709881748
2,0.37,0.37,0.09047398346365254
2,0.37,0.37,0.15547848723031887
2,0.63,0.37,0.06243992297651135
2,0.37,0.37,0.09876261389664404
2,0.37,0.37,0.3082834421715288
2,0.63,0.37,0.1759948549498498
2,0.37,0.37,0.035397974719835856
2,0.37,0.37,0.07324380907641226
2,0.63,0.63,0.09553820213741082
2,0.37,0.63,0.08089575974221597
2,0.37,0.63,0.2641929898252825
2,0.37,0.63,0.18315699224589332
2,0.63,0.63,0.020815833121868965
2,0.37,0.63,0.10056894065020883
2,0.37,0.63,0.07557014475471147
2,0.37,0.37,0.26423191456378503
2,0.63,0.37,0.05924893877589432
2,0.63,0.37,0.28861075349003373
2,0.37,0.63,0.000743206044761302
2,0.63,0.63,0.0012555446486898214
2,0.37,0.37,0.0916206840169429
2,0.37,0.37,0.07470903558398545
2,0.37,0.37,0.07171418191562262
2,0.37,0.37,0.1146718718234957
2,0.63,0.37,0.06928811709287919
2,0.63,0.37,0.19148341095852633
2,0.37,0.37,0.06047472253466457
2,0.37,0.63,0.0686069142112744
2,0.37,0.63,0.20039900182757608
2,0.37,0.63,0.11057555726920609
2,0.37,0.37,0.1565866322610071
2,0.37,0.63,0.02915449539220094
2,0.37,0.37,0.348066940965839
2,0.37,0.63,0.2123724760260527
2,0.37,0.37,0.07304809236082221
2,0.63,0.63,0.11163347596385753
2,0.37,0.37,0.12167958634607356
2,0.63,0.37,0.15456857269495577
2,0.37,0.37,0.045670781067684185
