player_name,fidelity
John Isner,-0.47374162667858855
Nick Kyrgios,-0.47374162667858855
Reilly Opelka,-0.47374162667861697
Hubert Hurkacz,-0.47374162667861697
Matteo Berrettini,-0.47374162667861697
Nicolas Jarry,-0.47374162667861697
Novak Djokovic,-0.47374162667858855
Maxime Cressy,-0.47374162667861697
Ben Shelton,-0.47374162667861697
Stefanos Tsitsipas,-0.47374162667861697
Felix Auger-Aliassime,-0.47374162667858855
Casper Ruud,-0.47374162667861697
Daniil Medvedev,-0.47374162667858855
Taylor Fritz,-0.47374162667858855
Brandon Nakashima,-0.47374162667861697
Marin Cilic,-0.47374162667858855
Arthur Rinderknech,-0.47374162667861697
Thiago Monteiro,-0.47374162667858855
Alexander Zverev,-0.47374162667858855
Andrey Rublev,-0.47374162667861697
Denis Shapovalov,-0.47374162667858855
Carlos Alcaraz,-0.47374162667861697
Pablo Carreno Busta,-0.47374162667861697
Rafael Nadal,-0.47374162667861697
Borna Coric,-0.47374162667861697
Steve Johnson,-0.47374162667861697
Lorenzo Sonego,-0.47374162667861697
Karen Khachanov,-0.47374162667861697
Jack Draper,-0.47374162667861697
Roberto Bautista Agut,-0.47374162667858855
Grigor Dimitrov,-0.47374162667858855
Benjamin Bonzi,-0.47374162667858855
Holger Rune,-0.47374162667858855
Jannik Sinner,-0.47374162667858855
Jan-Lennard Struff,-0.47374162667861697
Cameron Norrie,-0.47374162667858855
Frances Tiafoe,-0.47374162667858855
Tallon Griekspoor,-0.47374162667861697
Miomir Kecmanovic,-0.47374162667858855
Alexander Bublik,-0.47374162667861697
Adrian Mannarino,-0.47374162667858855
Lorenzo Musetti,-0.47374162667861697
Sebastian Korda,-0.47374162667858855
Andy Murray,-0.47374162667858855
Oscar Otte,-0.47374162667861697
Laslo Djere,-0.47374162667861697
Daniel Evans,-0.47374162667858855
Tommy Paul,-0.47374162667858855
Emil Ruusuvuori,-0.47374162667861697
Dominic Thiem,-0.47374162667858855
Mackenzie McDonald,-0.47374162667861697
Ilya Ivashka,-0.47374162667858855
Yoshihito Nishioka,-0.47374162667861697
Filip Krajinovic,-0.47374162667858855
Alex Molcan,-0.47374162667861697
Botic van de Zandschulp,-0.47374162667858855
Marcos Giron,-0.47374162667858855
Sebastian Baez,-0.47374162667858855
Marton Fucsovics,-0.47374162667858855
Ugo Humbert,-0.47374162667861697
Richard Gasquet,-0.47374162667858855
Jenson Brooksby,-0.47374162667861697
Alex de Minaur,-0.47374162667858855
Jiri Lehecka,-0.47374162667858855
J.J. Wolf,-0.47374162667861697
Alejandro Davidovich Fokina,-0.47374162667861697
Dusan Lajovic,-0.47374162667858855
Albert Ramos-Vinolas,-0.47374162667861697
Taro Daniel,-0.47374162667861697
Mikael Ymer,-0.47374162667858855
Soonwoo Kwon,-0.47374162667861697
Joao Sousa,-0.4737416266786312
Jaume Munar,-0.47374162667858855
Francisco Cerundolo,-0.47374162667860276
Pedro Martinez,-0.47374162667860276
Alejandro Tabilo,-0.47374162667858855
David Goffin,-0.47374162667860276
Aslan Karatsev,-0.47374162667860276
Federico Delbonis,-0.47374162667860276
Tomas Martin Etcheverry,-0.47374162667860276
Federico Coria,-0.47374162667860276
Diego Schwartzman,-0.47374162667860276
Fabio Fognini,-0.47374162667860276
Cristian Garin,-0.47374162667860276
Bernabe Zapata Miralles,-0.47374162667860276
Nikoloz Basilashvili,-0.47374162667860276
