,dataset,n_observations,approach,parameter,parameter_value,avg_time,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,agreement_kendall_0,agreement_kendall_1,agreement_kendall_2,agreement_kendall_3,agreement_kendall_4,agreement_kendall_5,agreement_kendall_6,agreement_kendall_7,agreement_kendall_8,agreement_kendall_9,agreement_jaccard2_0,agreement_jaccard2_1,agreement_jaccard2_2,agreement_jaccard2_3,agreement_jaccard2_4,agreement_jaccard2_5,agreement_jaccard2_6,agreement_jaccard2_7,agreement_jaccard2_8,agreement_jaccard2_9,agreement_euclidean_0,agreement_euclidean_1,agreement_euclidean_2,agreement_euclidean_3,agreement_euclidean_4,agreement_euclidean_5,agreement_euclidean_6,agreement_euclidean_7,agreement_euclidean_8,agreement_euclidean_9,fidelity_0,fidelity_1,fidelity_2,fidelity_3,fidelity_4,fidelity_5,fidelity_6,fidelity_7,fidelity_8,fidelity_9
0,Synthetic_0,100,rank_rank,,,13.979624724388122,14.003900051116943,13.985504150390625,13.940382719039917,13.976792573928833,14.04512357711792,14.032882690429688,13.956923961639404,13.914062023162842,13.990529298782349,13.950146198272705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Synthetic_0,100,rank_rank,coalition_size,1.0,10.511034393310547,10.494272708892822,10.516868591308594,10.48471450805664,10.458348035812378,10.540695190429688,10.427130222320557,10.557631015777588,10.5252103805542,10.626233577728271,10.479239702224731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9132701400002623,0.9132701400002623,0.9132701400002623,0.9132701400002623,0.9132701400002623,0.9132701400002623,0.9132701400002623,0.9132701400002623,0.9132701400002623,0.9132701400002623,0.9189268625,0.9189268625,0.9189268625,0.9189268625,0.9189268625,0.9189268625,0.9189268625,0.9189268625,0.9189268625,0.9189268625
2,Synthetic_0,100,rank_rank,coalition_size,2.0,13.959999608993531,14.052546262741089,13.945379734039307,13.95457148551941,13.952643156051636,14.005195617675781,13.992384672164917,13.945934534072876,13.911397457122803,13.897941589355469,13.942001581192017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,Synthetic_0,100,rank_rank,sample_size,20.0,0.37240502834320066,0.372051477432251,0.37489748001098633,0.3601384162902832,0.36574864387512207,0.37930965423583984,0.3664872646331787,0.3728461265563965,0.38570213317871094,0.3723886013031006,0.3744804859161377,0.9466666666666668,0.9666666666666667,0.96,0.9400000000000002,0.9266666666666667,0.9166666666666667,0.93,0.9466666666666665,0.9466666666666668,0.9466666666666668,0.8933333333333331,0.9266666666666665,0.9133333333333333,0.8866666666666666,0.8933333333333333,0.8399999999999999,0.9066666666666666,0.9066666666666666,0.8999999999999999,0.8933333333333333,0.9683645963668099,0.9688895578666847,0.9705653111941495,0.9658532836607954,0.9560476387364699,0.9642671847869453,0.9651223488739515,0.9713647797617565,0.9579210704848858,0.9647728027504003,0.9684982916666667,0.9782361666666667,0.9784665833333334,0.97352375,0.9621825833333333,0.96729075,0.9799592916666666,0.9749040416666667,0.9492865833333333,0.9683692916666666
4,Synthetic_0,100,rank_rank,sample_size,50.0,0.6160434484481812,0.6045577526092529,0.5976996421813965,0.6083829402923584,0.5893051624298096,0.6040782928466797,0.7407810688018799,0.6053142547607422,0.6018929481506348,0.6059257984161377,0.6024966239929199,0.9466666666666665,0.9733333333333334,0.9533333333333333,0.9566666666666667,0.9466666666666668,0.96,0.9533333333333335,0.9633333333333334,0.9666666666666667,0.96,0.8866666666666667,0.96,0.9266666666666665,0.9266666666666665,0.9133333333333333,0.94,0.9199999999999998,0.96,0.9333333333333332,0.9199999999999998,0.9795583712363397,0.9821997077745857,0.9802747639751561,0.9828023770862712,0.97174143363296,0.9807507206467652,0.9792453485613111,0.9823403540898675,0.9749685895338112,0.9817794910409997,0.9809765333333333,0.9869168166666666,0.98486675,0.9838619666666667,0.9814566,0.9867707666666666,0.98534255,0.9854691333333333,0.9783025833333333,0.98423065
5,Synthetic_0,100,rank_rank,sample_size,100.0,0.966810941696167,0.9717519283294678,0.9625136852264404,0.9618816375732422,0.9501729011535645,0.9691600799560547,0.9652318954467773,0.9721753597259521,0.980072021484375,0.9503068923950195,0.9848430156707764,0.9533333333333333,0.9833333333333334,0.98,0.9866666666666667,0.9733333333333334,0.9400000000000002,0.9833333333333334,0.9633333333333333,0.97,0.98,0.9199999999999998,0.9599999999999999,0.94,0.9466666666666665,0.9399999999999998,0.9199999999999998,0.9466666666666665,0.92,0.9466666666666668,0.96,0.9848048505582413,0.9873210971710575,0.9828029434527005,0.9859468875011703,0.984701186827818,0.9826971892997226,0.9842206621156042,0.986431314298342,0.9814808638032823,0.9893938815716348,0.9876798833333333,0.9860405333333333,0.9906750583333334,0.9880408583333333,0.9885688666666667,0.9895870916666667,0.9892226833333333,0.9871678333333334,0.989233975,0.99133625
6,Synthetic_0,100,rank_rank,sample_size,250.0,2.0268073320388793,2.0512964725494385,2.0338921546936035,1.9870011806488037,2.0421383380889893,2.017409324645996,2.029738664627075,2.0191140174865723,2.0363898277282715,2.0113255977630615,2.0397677421569824,0.9666666666666667,0.9733333333333334,0.98,0.9733333333333333,0.9833333333333334,0.98,0.98,0.9633333333333334,0.9833333333333333,0.9766666666666667,0.96,0.9399999999999998,0.9533333333333335,0.9533333333333333,0.96,0.9666666666666666,0.9666666666666667,0.94,0.9733333333333334,0.9533333333333333,0.9905512489161918,0.9907964495180841,0.9922547247408695,0.9909364060679541,0.9914708664637633,0.9923174367734255,0.9926051126090725,0.9895158564610508,0.98973164135111,0.989887161778597,0.9940666766666667,0.9898069233333333,0.99385204,0.9947087133333333,0.99210948,0.99266032,0.9935156466666667,0.9923869066666666,0.9937108333333333,0.9875733166666667
7,Synthetic_0,100,rank_rank,sample_size,500.0,3.754598379135132,3.7597439289093018,3.7601892948150635,3.752873420715332,3.8241846561431885,3.7534995079040527,3.748760223388672,3.747831344604492,3.736722469329834,3.722407341003418,3.739771604537964,0.99,0.9866666666666666,0.9733333333333334,0.9699999999999999,0.98,0.98,0.9833333333333334,0.9766666666666667,0.9833333333333333,0.98,0.98,0.96,0.9399999999999998,0.9533333333333333,0.9733333333333333,0.9666666666666667,0.9733333333333333,0.9466666666666665,0.9733333333333333,0.9733333333333332,0.9944236891485976,0.9923197118817552,0.9938374283999144,0.9939240816470217,0.993067883654892,0.9951470129969588,0.9954318833856766,0.9943633666319712,0.9947131390526461,0.993327296281842,0.9955150783333333,0.9906496333333333,0.9944780466666666,0.9949396516666666,0.99283447,0.9956785783333333,0.9966314866666667,0.99524407,0.9960829116666666,0.99356811
8,Synthetic_0,100,rank_rank,sample_size,1000.0,7.1909027099609375,7.19034218788147,7.214590072631836,7.170582294464111,7.210118293762207,7.200243949890137,7.210307359695435,7.148768186569214,7.198104619979858,7.185292959213257,7.180677175521851,0.9933333333333334,0.9833333333333334,0.9966666666666667,0.9933333333333333,0.9900000000000001,0.99,0.9866666666666666,0.99,0.9933333333333334,0.9866666666666667,0.9933333333333333,0.98,0.9933333333333334,0.9933333333333334,0.9933333333333333,0.9866666666666666,0.98,0.9933333333333333,0.9866666666666666,0.9866666666666666,0.9972890062546993,0.9963651027880459,0.9982355298425593,0.9972209526257119,0.9965675047095551,0.9971538749237294,0.9969052121298266,0.996906076186773,0.9979061900426054,0.9973348509237974,0.9975800741666667,0.997961305,0.9983941616666667,0.9974047808333333,0.9974580566666666,0.9971773758333333,0.9967759875,0.997172255,0.9985558791666667,0.9977408266666666
9,Synthetic_0,100,rank_rank,sample_size,1500.0,10.551476502418518,10.548375129699707,10.538551092147827,10.498469114303589,10.535861492156982,10.549955129623413,10.603637456893921,10.540451765060425,10.581100702285767,10.53910756111145,10.5792555809021,0.9966666666666667,0.9933333333333334,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.9966666666666667,1.0,0.9933333333333333,0.9833333333333333,0.9900000000000001,1.0,0.9933333333333333,1.0,1.0,0.9933333333333333,1.0,1.0,0.9933333333333334,0.9866666666666666,0.9933333333333334,0.9980547029386354,0.9980233509858063,0.9982985460647927,0.99837874791282,0.9981861838660505,0.998760391513391,0.9983308691850589,0.9981812892166697,0.9981053827900414,0.9980684526887503,0.9975877322222222,0.9983961894444444,0.9980746194444444,0.9986055477777778,0.99894391,0.9987896822222222,0.9982372622222222,0.9980926999999999,0.9989480544444445,0.9990709005555556
