mean,std,shapley_type,feature,strata,batch,weights,data
0.06929228189188037,0.05260052524400566,shapley value,X,0-100%,,equal weights,Standard normal 2 vars
0.13093267082226073,0.07539112337221728,shapley value,Y,0-100%,,equal weights,Standard normal 2 vars
0.00246780570444536,0.0008897552764083281,standardized shapley value,X,0-100%,,equal weights,Standard normal 2 vars
0.0025321942955546396,0.0015469361677892394,standardized shapley value,Y,0-100%,,equal weights,Standard normal 2 vars
0.12146336530900054,0.20668771162579716,rank-relevance shapley value,X,0-100%,,equal weights,Standard normal 2 vars
0.04688043698318563,0.08758890646811858,rank-relevance shapley value,Y,0-100%,,equal weights,Standard normal 2 vars
0.09700919464863253,0.07364073534160792,shapley value,X,0-100%,,different weights,Standard normal 2 vars
0.07855960249335645,0.04523467402333036,shapley value,Y,0-100%,,different weights,Standard normal 2 vars
0.0034728167685360418,0.0012521070999382954,standardized shapley value,X,0-100%,,different weights,Standard normal 2 vars
0.0015271832314639583,0.0009329674976917133,standardized shapley value,Y,0-100%,,different weights,Standard normal 2 vars
0.12278319930608256,0.1995213478543108,rank-relevance shapley value,X,0-100%,,different weights,Standard normal 2 vars
0.04556060298610362,0.10611583465806727,rank-relevance shapley value,Y,0-100%,,different weights,Standard normal 2 vars
0.07643469944025102,0.057935641872430534,shapley value,X,0-100%,,equal weights,Arbitrary normal 2 vars
0.1316506916708495,0.07134929481168945,shapley value,Y,0-100%,,equal weights,Arbitrary normal 2 vars
0.002413146682187092,0.0009275613412022803,standardized shapley value,X,0-100%,,equal weights,Arbitrary normal 2 vars
0.0025868533178129076,0.0014498287148886136,standardized shapley value,Y,0-100%,,equal weights,Arbitrary normal 2 vars
0.11217802588038042,0.19262871716117339,rank-relevance shapley value,X,0-100%,,equal weights,Arbitrary normal 2 vars
0.05616577641180575,0.09671190723314642,rank-relevance shapley value,Y,0-100%,,equal weights,Arbitrary normal 2 vars
0.10700857921635143,0.08110989862140273,shapley value,X,0-100%,,different weights,Arbitrary normal 2 vars
0.0789904150025097,0.042809576887013666,shapley value,Y,0-100%,,different weights,Arbitrary normal 2 vars
0.00342601507930427,0.0013168860249549996,standardized shapley value,X,0-100%,,different weights,Arbitrary normal 2 vars
0.0015739849206957302,0.0008821561389324169,standardized shapley value,Y,0-100%,,different weights,Arbitrary normal 2 vars
0.11392301575132287,0.18851687703897532,rank-relevance shapley value,X,0-100%,,different weights,Arbitrary normal 2 vars
0.0544207865408633,0.11521485993246788,rank-relevance shapley value,Y,0-100%,,different weights,Arbitrary normal 2 vars
0.06929228189188037,0.05257856718617386,shapley value,X,0-100%,,equal weights,Standard normal 2 vars with correlated third
0.13093267082226073,0.07529658901105687,shapley value,Y,0-100%,,equal weights,Standard normal 2 vars with correlated third
0.0,0.0,shapley value,Z,0-100%,,equal weights,Standard normal 2 vars with correlated third
0.0024678057044453605,0.0008893838485998625,standardized shapley value,X,0-100%,,equal weights,Standard normal 2 vars with correlated third
0.0025321942955546396,0.001544996435154459,standardized shapley value,Y,0-100%,,equal weights,Standard normal 2 vars with correlated third
0.0,0.0,standardized shapley value,Z,0-100%,,equal weights,Standard normal 2 vars with correlated third
0.12146336530900054,0.20660142996408468,rank-relevance shapley value,X,0-100%,,equal weights,Standard normal 2 vars with correlated third
0.04688043698318563,0.08747907707511668,rank-relevance shapley value,Y,0-100%,,equal weights,Standard normal 2 vars with correlated third
0.0,0.0,rank-relevance shapley value,Z,0-100%,,equal weights,Standard normal 2 vars with correlated third
0.09700919464863253,0.0736099940606434,shapley value,X,0-100%,,different weights,Standard normal 2 vars with correlated third
0.07855960249335645,0.04517795340663412,shapley value,Y,0-100%,,different weights,Standard normal 2 vars with correlated third
0.0,0.0,shapley value,Z,0-100%,,different weights,Standard normal 2 vars with correlated third
0.0034728167685360413,0.0012515844085776197,standardized shapley value,X,0-100%,,different weights,Standard normal 2 vars with correlated third
0.0015271832314639583,0.0009317976320307089,standardized shapley value,Y,0-100%,,different weights,Standard normal 2 vars with correlated third
0.0,0.0,standardized shapley value,Z,0-100%,,different weights,Standard normal 2 vars with correlated third
0.12278319930608256,0.19943805778687249,rank-relevance shapley value,X,0-100%,,different weights,Standard normal 2 vars with correlated third
0.04556060298610363,0.10598277399800952,rank-relevance shapley value,Y,0-100%,,different weights,Standard normal 2 vars with correlated third
0.0,0.0,rank-relevance shapley value,Z,0-100%,,different weights,Standard normal 2 vars with correlated third
0.04573290604864105,0.03470185434287475,shapley value,X,0-100%,,equal weights,Standard normal 3 correlated vars
0.08641556274269209,0.04969574874729754,shapley value,Y,0-100%,,equal weights,Standard normal 3 correlated vars
0.24474899747121612,0.18793802112163163,shapley value,Z,0-100%,,equal weights,Standard normal 3 correlated vars
0.0026356765542508115,0.0009498835962901925,standardized shapley value,X,0-100%,,equal weights,Standard normal 3 correlated vars
0.002704445136656739,0.0016500937951486332,standardized shapley value,Y,0-100%,,equal weights,Standard normal 3 correlated vars
0.004051926749738527,0.0031208683020352264,standardized shapley value,Z,0-100%,,equal weights,Standard normal 3 correlated vars
0.6637653055896962,4.829021257988118,rank-relevance shapley value,X,0-100%,,equal weights,Standard normal 3 correlated vars
0.791616910084483,7.335625799359445,rank-relevance shapley value,Y,0-100%,,equal weights,Standard normal 3 correlated vars
1.537792331690033,12.078333964087488,rank-relevance shapley value,Z,0-100%,,equal weights,Standard normal 3 correlated vars
0.05543382551350431,0.04206285374893909,shapley value,X,0-100%,,different weights,Standard normal 3 correlated vars
0.10474613665780862,0.060237271208845505,shapley value,Y,0-100%,,different weights,Standard normal 3 correlated vars
0.14833272574013098,0.11390183098280704,shapley value,Z,0-100%,,different weights,Standard normal 3 correlated vars
0.002548980208393928,0.0009186387014433881,standardized shapley value,X,0-100%,,different weights,Standard normal 3 correlated vars
0.002615486758763059,0.001595816610746101,standardized shapley value,Y,0-100%,,different weights,Standard normal 3 correlated vars
0.001959322564502086,0.0015091061765644018,standardized shapley value,Z,0-100%,,different weights,Standard normal 3 correlated vars
0.33671111550552896,1.0747587075220395,rank-relevance shapley value,X,0-100%,,different weights,Standard normal 3 correlated vars
0.44514012774435185,1.9550451247775245,rank-relevance shapley value,Y,0-100%,,different weights,Standard normal 3 correlated vars
0.749336809473999,2.83063273307386,rank-relevance shapley value,Z,0-100%,,different weights,Standard normal 3 correlated vars
0.07643469944025102,0.05791145667335018,shapley value,X,0-100%,,equal weights,Arbitrary normal 2 vars with correlated third
0.1316506916708495,0.07125982857610934,shapley value,Y,0-100%,,equal weights,Arbitrary normal 2 vars with correlated third
0.0,0.0,shapley value,Z,0-100%,,equal weights,Arbitrary normal 2 vars with correlated third
0.002413146682187092,0.0009271741312746574,standardized shapley value,X,0-100%,,equal weights,Arbitrary normal 2 vars with correlated third
0.0025868533178129076,0.0014480107471329493,standardized shapley value,Y,0-100%,,equal weights,Arbitrary normal 2 vars with correlated third
0.0,0.0,standardized shapley value,Z,0-100%,,equal weights,Arbitrary normal 2 vars with correlated third
0.11217802588038045,0.19254830441829923,rank-relevance shapley value,X,0-100%,,equal weights,Arbitrary normal 2 vars with correlated third
0.05616577641180575,0.09659063833625321,rank-relevance shapley value,Y,0-100%,,equal weights,Arbitrary normal 2 vars with correlated third
0.0,0.0,rank-relevance shapley value,Z,0-100%,,equal weights,Arbitrary normal 2 vars with correlated third
